	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	59	0	1	1	1	1	1718	27	1	20.0832 	0	0
DL	59	0	9	1	2	1	768	16	0	17.6078	 	0	0
DL	59	0	49	48	2	1	51117	20	1	16.1744	 	0	0
UL	59	1	7	1	1	1	1640	26	0	19.9423 	0	3.5388e-05
DL	59	1	9	8	2	1	11613	24	1	16.1744	 	0	0
DL	59	1	17	121	2	1	28181	16	0	16.1744	 	0	0
UL	59	2	6	1	1	1	1640	26	0	20.8232 	0	0
DL	59	2	7	5	2	1	7257	24	1	11.3382	 	0	0
DL	59	2	13	121	2	1	28181	16	0	11.3382	 	0	0
DL	59	3	7	38	2	1	55182	24	0	17.6426	 	0	2.57123e-06
UL	59	4	1	1	1	1	1718	27	1	20.6255 	0	0
UL	59	4	9	1	1	1	1640	26	0	20.89 	0	1.95224e-08
DL	59	4	10	66	2	1	17531	22	0	12.934	 	1	1
UL	59	5	8	1	1	1	1640	26	0	20.89 	0	1.95224e-08
DL	59	5	9	66	2	1	17531	22	0	15.7882	 	0	0
DL	59	6	9	107	2	1	17337	16	0	16.1204	 	0	0
UL	59	7	18	1	1	1	1776	28	0	20.1383 	1	1
DL	59	7	19	30	2	1	43566	24	0	11.2745	 	1	1
DL	59	8	8	1	2	1	865	18	0	11.2745	 	0	7.48137e-09
DL	59	8	67	66	2	1	17531	22	1	16.3737	 	0	0
DL	59	9	7	52	2	1	65446	22	0	16.3737	 	0	0
UL	60	0	7	1	1	1	1640	26	0	20.2551 	0	2.53544e-06
DL	60	0	8	1	2	1	1254	22	0	11.2119	 	1	1
UL	60	1	7	1	1	1	1640	26	0	20.8582 	0	2.38399e-08
DL	60	1	9	22	2	1	19164	18	0	11.5257	 	0	0
DL	60	1	31	30	2	1	43566	24	1	11.5257	 	0	0
DL	60	1	61	26	2	1	22651	18	0	11.5257	 	0	0
UL	60	2	1	1	1	1	1776	28	1	20.8582 	0	0
DL	60	2	11	6	2	1	8709	24	0	17.594	 	0	0.000456933
UL	60	3	7	1	1	1	1640	26	0	20.737 	0	1.24154e-07
DL	60	3	8	5	2	1	7257	24	0	17.594	 	0	0.000380792
UL	60	4	7	1	1	1	1640	26	0	21.3726 	0	4.30767e-09
DL	60	4	8	1	2	1	1254	22	1	11.6308	 	0	0
DL	60	4	10	229	2	1	46299	16	0	11.6308	 	0	0
DL	60	5	14	189	2	1	33614	18	0	17.6089	 	0	0
DL	60	6	13	84	2	1	56453	24	0	17.6089	 	1	0.979228
UL	60	7	7	1	1	1	1640	26	0	21.3527 	0	3.88838e-09
DL	60	7	8	84	2	1	56453	24	0	13.1351	 	1	1
UL	60	8	7	1	1	1	1640	26	0	19.5736 	0	9.94615e-05
DL	60	8	9	75	2	1	58089	16	0	9.90804	 	1	0.999999
DL	60	9	7	46	2	1	57894	22	0	16.5079	 	0	0
UL	61	0	8	1	1	1	1640	26	0	20.6554 	0	3.17156e-07
DL	61	0	9	31	2	1	39012	22	0	11.5592	 	1	1
DL	61	0	85	84	2	1	56453	24	1	11.5592	 	0	0
UL	61	1	7	1	1	1	1640	26	0	20.1675 	0	5.14509e-06
DL	61	1	8	15	2	1	15972	20	0	17.7353	 	0	0
DL	61	1	85	84	2	1	56453	24	1	17.7353	 	0	0
DL	61	2	9	12	2	1	7431	14	0	16.0845	 	0	0
DL	61	2	76	75	2	1	58089	16	1	16.0845	 	0	0
UL	61	3	14	1	1	1	1640	26	0	20.2501 	0	2.57868e-06
DL	61	3	15	40	2	1	58089	24	0	8.90946	 	1	1
DL	61	4	7	1	2	1	768	16	0	8.90946	 	1	0.999985
DL	61	4	32	31	2	1	39012	22	1	15.6789	 	0	0
DL	61	5	7	79	2	1	49193	24	0	15.6789	 	1	1
UL	61	6	8	1	1	1	1640	26	0	19.6243 	0	5.83537e-05
DL	61	6	9	46	2	1	57894	22	0	14.3179	 	1	1
UL	61	7	14	1	1	1	1640	26	0	20.5211 	0	8.2333e-07
DL	61	7	15	1	2	1	619	14	0	12.134	 	0	0
DL	61	7	41	40	2	1	58089	24	1	12.134	 	0	0
DL	61	8	7	1	2	1	768	16	1	12.134	 	0	0
DL	61	8	9	23	2	1	28945	22	0	12.134	 	1	1
UL	61	9	14	1	1	1	1640	26	0	20.9764 	0	2.36179e-07
DL	61	9	15	1	2	1	1254	22	0	12.9202	 	1	1
