time srcImsi targetImsi bsr depth
159200000 1 4294967294 0 1
159200000 0 1 0 0
159200000 1 4294967294 0 1
159300000 0 1 0 0
159300000 1 4294967294 0 1
159300000 0 1 0 0
159300000 1 4294967294 0 1
159400000 0 1 0 0
159400000 1 4294967294 0 1
159400000 0 1 0 0
159400000 1 4294967294 0 1
159500000 0 1 0 0
159500000 1 4294967294 0 1
159500000 0 1 0 0
159500000 1 4294967294 0 1
159600000 0 1 0 0
159600000 1 4294967294 0 1
159600000 0 1 0 0
159600000 1 4294967294 0 1
159700000 0 1 0 0
159700000 1 4294967294 0 1
159700000 0 1 0 0
159700000 1 4294967294 0 1
159800000 0 1 0 0
159800000 1 4294967294 0 1
159800000 0 1 0 0
159800000 1 4294967294 0 1
159900000 0 1 0 0
159900000 1 4294967294 0 1
159900000 0 1 0 0
159900000 1 4294967294 0 1
160000000 0 1 0 0
160000000 1 4294967294 0 1
160000000 0 1 0 0
160000000 1 4294967294 0 1
160100000 0 1 0 0
160100000 1 4294967294 0 1
160100000 0 1 0 0
160100000 1 4294967294 0 1
160200000 0 1 0 0
160200000 1 4294967294 0 1
160200000 0 1 0 0
160200000 1 4294967294 0 1
160300000 0 1 0 0
160300000 1 4294967294 0 1
160300000 0 1 0 0
160300000 1 4294967294 0 1
160400000 0 1 0 0
160400000 1 4294967294 0 1
160400000 0 1 0 0
160400000 1 4294967294 0 1
160500000 0 1 0 0
160500000 1 4294967294 0 1
160500000 0 1 0 0
160500000 1 4294967294 0 1
160600000 0 1 0 0
160600000 1 4294967294 0 1
160600000 0 1 0 0
160600000 1 4294967294 0 1
160700000 0 1 0 0
160700000 1 4294967294 0 1
160700000 0 1 0 0
160700000 1 4294967294 0 1
160800000 0 1 0 0
160800000 1 4294967294 0 1
160800000 0 1 0 0
160800000 1 4294967294 0 1
160900000 0 1 0 0
160900000 1 4294967294 0 1
160900000 0 1 0 0
160900000 1 4294967294 0 1
161000000 0 1 0 0
161000000 1 4294967294 0 1
161000000 0 1 0 0
161000000 1 4294967294 0 1
161100000 0 1 0 0
161100000 1 4294967294 0 1
161100000 0 1 0 0
