	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	510	9	6	1	2	4	385	10	0	5.61404	 	0	1.00253e-13
DL	511	0	1	2	2	4	768	10	0	5.25817	 	0	0
DL	511	0	3	1	2	1	1776	28	0	36.9275	 	0	0
DL	511	0	4	1	2	2	1776	28	0	30.325	 	0	0
DL	511	0	5	1	2	3	1776	28	0	45.3056	 	0	0
DL	511	1	6	1	2	4	385	10	0	5.25817	 	0	2.22693e-10
DL	511	2	1	2	2	4	768	10	0	5.25817	 	0	0
DL	511	2	3	1	2	1	1776	28	0	36.9275	 	0	0
DL	511	2	4	1	2	2	1776	28	0	30.325	 	0	0
DL	511	2	5	1	2	3	1776	28	0	45.3056	 	0	0
DL	511	3	6	1	2	4	385	10	0	5.25817	 	0	2.22693e-10
DL	511	4	1	2	2	4	768	10	0	5.25817	 	0	0
DL	511	4	3	1	2	1	1776	28	0	36.9275	 	0	0
DL	511	4	4	1	2	2	1776	28	0	30.325	 	0	0
DL	511	4	5	1	2	3	1776	28	0	45.3056	 	0	0
DL	511	5	6	1	2	4	385	10	0	5.25817	 	0	2.22693e-10
DL	511	6	1	2	2	4	768	10	0	5.25817	 	0	0
DL	511	6	3	1	2	1	1776	28	0	36.9275	 	0	0
DL	511	6	4	1	2	2	1776	28	0	30.325	 	0	0
DL	511	6	5	1	2	3	1776	28	0	45.3056	 	0	0
DL	511	7	6	1	2	4	385	10	0	5.25817	 	0	2.22693e-10
UL	511	8	1	1	1	1	1351	23	0	15.8289 	1	0.765283
DL	511	8	2	2	2	4	768	10	0	5.25817	 	0	0
DL	511	8	4	1	2	1	1776	28	0	36.9275	 	0	0
DL	511	8	6	1	2	2	1776	28	0	30.325	 	0	0
DL	511	8	8	1	2	3	1776	28	0	45.3056	 	0	0
DL	511	9	6	1	2	4	385	10	0	5.25817	 	0	2.22693e-10
UL	512	3	6	1	1	1	1351	23	1	15.8289 	0	0
DL	512	6	1	2	2	4	768	10	0	4.07008	 	1	0.997065
DL	512	6	3	1	2	1	1776	28	0	45.5263	 	0	0
DL	512	6	4	1	2	2	1776	28	0	32.2525	 	0	0
DL	512	6	5	1	2	3	1776	28	0	32.3333	 	0	0
DL	512	7	7	1	2	4	385	10	0	4.07008	 	1	0.972507
DL	512	8	1	2	2	4	768	10	0	4.07008	 	1	0.997065
DL	512	8	3	1	2	1	1776	28	0	45.5263	 	0	0
DL	512	8	4	1	2	2	1776	28	0	32.2525	 	0	0
DL	512	8	5	1	2	3	1776	28	0	32.3333	 	0	0
DL	512	9	7	1	2	4	385	10	0	4.07008	 	1	0.972507
UL	513	0	1	1	1	1	1254	22	0	18.2017 	0	0
DL	513	0	2	12	2	4	3403	8	0	4.07008	 	0	0
DL	513	0	14	3	2	1	5341	28	0	45.5263	 	0	0
DL	513	0	17	3	2	2	5341	28	0	32.2525	 	0	0
DL	513	0	20	3	2	3	5341	28	0	32.3333	 	0	0
DL	513	1	6	2	2	4	768	10	1	4.07008	 	0	0
DL	513	1	8	3	2	4	846	8	0	4.07008	 	0	0
DL	513	2	1	1	2	4	385	10	1	4.07008	 	0	0
DL	513	2	2	2	2	4	567	8	0	4.07008	 	0	0
DL	513	2	4	1	2	1	1776	28	0	45.5263	 	0	0
DL	513	2	6	1	2	2	1776	28	0	32.2525	 	0	0
DL	513	2	8	1	2	3	1776	28	0	32.3333	 	0	0
DL	513	3	6	2	2	4	768	10	1	2.22776	 	0	0
DL	513	3	8	2	2	4	567	8	0	2.22776	 	0	3.67057e-06
DL	513	4	1	1	2	4	385	10	1	2.22776	 	0	0
DL	513	4	2	2	2	4	567	8	0	2.22776	 	0	3.67057e-06
DL	513	4	4	1	2	1	1776	28	0	35.3187	 	0	0
DL	513	4	5	1	2	2	1776	28	0	33.5185	 	0	0
DL	513	4	6	1	2	3	1776	28	0	45.1989	 	0	0
DL	513	5	6	2	2	4	567	8	0	2.22776	 	0	3.67057e-06
DL	513	6	2	2	2	4	567	8	0	2.22776	 	0	3.67057e-06
DL	513	6	4	1	2	1	1776	28	0	35.3187	 	0	0
DL	513	6	5	1	2	2	1776	28	0	33.5185	 	0	0
DL	513	6	6	1	2	3	1776	28	0	45.1989	 	0	0
DL	513	7	6	2	2	4	567	8	0	2.22776	 	0	3.67057e-06
DL	513	8	1	2	2	4	567	8	0	2.22776	 	0	3.67057e-06
DL	513	8	3	1	2	1	1776	28	0	35.3187	 	0	0
DL	513	8	4	1	2	2	1776	28	0	33.5185	 	0	0
DL	513	8	5	1	2	3	1776	28	0	45.1989	 	0	0
DL	513	9	6	2	2	4	567	8	0	2.22776	 	0	3.67057e-06
UL	514	8	1	1	1	1	1449	24	0	8.39924 	1	1
DL	514	8	3	6	2	1	10685	28	0	46.3234	 	0	0
DL	514	8	9	6	2	2	10685	28	0	28.6008	 	0	0
DL	514	8	15	6	2	3	10685	28	0	35.1259	 	0	0
DL	514	9	22	1	2	4	282	8	0	4.77041	 	0	5.55112e-17
DL	515	0	1	22	2	4	6242	8	0	4.77041	 	0	0
DL	515	2	1	10	2	4	2836	8	0	4.77041	 	0	0
DL	515	2	11	5	2	1	8903	28	0	46.3234	 	0	0
DL	515	2	16	1	2	2	1776	28	0	28.6008	 	0	0
DL	515	2	17	1	2	3	1776	28	0	35.1259	 	0	0
UL	515	3	1	1	1	1	1449	24	1	8.39924 	0	0
DL	515	3	18	4	2	4	1131	8	0	4.77041	 	0	0
DL	515	3	22	1	2	1	1776	28	0	46.3234	 	0	0
DL	515	4	1	1	2	1	1776	28	0	46.3234	 	0	0
DL	515	4	2	1	2	2	1776	28	0	28.6008	 	0	0
DL	515	4	3	1	2	3	1776	28	0	35.1259	 	0	0
DL	515	4	4	19	2	4	5390	8	0	4.77041	 	0	0
DL	515	5	17	6	2	4	1698	8	0	4.77041	 	0	0
DL	515	6	1	6	2	4	1698	8	0	4.77041	 	0	0
